event_id,time,kind,customer_id,checkout_id
1,8.176663795385586,arr,1,2
3,8.479194694329905,arr,2,14
5,8.756724384472188,arr,3,12
7,12.568307082556046,arr,4,14
8,16.87885690187155,arr,5,7
10,17.981984109334924,arr,6,15
12,18.764501412078044,arr,7,3
14,21.059787950948547,arr,8,13
16,21.688500841259486,arr,9,8
18,26.11322484273736,arr,10,1
20,28.358673422904157,arr,11,3
9,28.966221837880667,dep,5,7
21,29.485362696076244,arr,12,9
23,34.35338664793692,arr,13,17
25,38.32262290396656,arr,14,8
26,39.30279482479404,arr,15,15
27,39.88287050034963,arr,16,7
15,46.455958581162214,dep,8,13
29,53.86801744949657,arr,17,13
31,55.2601643381719,arr,18,10
32,58.700910107393916,dep,18,10
6,58.80135902407128,dep,3,12
33,60.07563532548295,arr,19,7
19,60.497079594495574,dep,10,1
28,73.67675011297874,dep,16,7
17,74.08608503085432,dep,9,8
34,78.66022511064217,arr,20,12
11,80.1735240631391,dep,6,15
38,82.00833486451286,arr,21,9
30,86.1902217436919,dep,17,13
40,89.10634039855972,arr,22,1
22,90.32510033057783,dep,12,9
42,91.98009098668932,arr,23,16
45,92.99083146808263,arr,24,6
47,93.18218738427998,arr,25,7
48,94.75233987996423,arr,26,1
49,95.40777597410285,arr,27,16
46,95.77709286749455,dep,24,6
39,96.86593726338242,dep,15,15
50,99.92962211214441,arr,28,10
52,100.9965301564681,arr,29,12
41,101.74552610487169,dep,22,1
53,102.7589894510505,arr,30,10
55,109.92150258901647,arr,31,8
51,113.31989875243725,dep,28,10
56,116.39860397186592,arr,32,11
59,123.90581481559694,arr,33,1
60,124.56346129813363,arr,34,2
61,126.01189806420528,arr,35,15
4,126.92602765502697,dep,2,14
63,131.40791889032522,arr,36,10
65,132.9985930509248,arr,37,5
67,133.24554407759445,arr,38,13
69,133.40598903718583,arr,39,14
70,136.2332860955541,arr,40,5
66,139.75235286151678,dep,37,5
71,142.10068911709718,arr,41,17
58,143.4148454159871,dep,32,11
43,146.34161376523932,dep,21,9
54,146.578294290186,dep,26,1
74,146.99284359854278,arr,42,11
77,148.61360803083085,arr,43,6
79,151.25089320999805,arr,44,17
36,155.1221453481511,dep,14,8
81,156.80717464174802,arr,45,5
75,157.73521604058269,dep,33,1
76,161.9407924573765,dep,42,11
35,162.2095795918185,dep,19,7
37,162.22275084976857,dep,20,12
85,167.27610476362804,dep,29,12
83,168.7214871801752,arr,46,1
87,169.1657244454312,arr,47,13
82,172.358774011227,dep,31,8
68,173.47364758374232,dep,38,13
88,173.86457473251076,arr,48,12
91,175.11869613377453,arr,49,7
92,176.35834440530422,arr,50,15
78,177.57625925395982,dep,43,6
93,178.30638503747596,arr,51,11
2,178.60705024353263,dep,1,2
95,178.9575078665149,arr,52,9
62,179.61416431907654,dep,35,15
98,182.28561042349807,arr,53,1
86,182.5593132640655,dep,46,1
89,185.5649336612411,dep,47,13
100,186.1074562519705,arr,54,13
103,191.02052631981323,arr,55,15
99,198.92101030944306,dep,50,15
104,199.56215937470554,arr,56,1
106,201.56571585773617,arr,57,2
107,202.5241912431793,arr,58,15
108,203.42750929830717,arr,59,4
94,205.54865302129085,dep,51,11
110,207.2384359163118,arr,60,8
105,208.33690051340747,dep,55,15
13,211.34003099213427,dep,7,3
111,213.4969445830249,dep,60,8
